AST_PER_GAME,BLK_PER_GAME,CONF_RANKS,CONTINENT,DRAFT_PICK,DRAFT_ROUND,DREB_PER_GAME,FG3A_PER_GAME,FG3M_PER_GAME,FGA_PER_GAME,FGM_PER_GAME,FROM_TANKING,FTA_PER_GAME,FTM_PER_GAME,GP,GS,HEIGHT,MIN,NEW_TEAM,OREB_PER_GAME,PF_PER_GAME,PLAYER,PLAYER_AGE,POSITION,PTS_PER_GAME,REB_PER_GAME,STL_PER_GAME,TEAM_ID,TOV_PER_GAME,TO_TANKING,WEIGHT,YEARS_IN_LEAGUE
6.054,0.257,7,1,29,1,4.541,5.23,1.797,17.824,8.27,0,2.568,2.135,74,15,195.6,2693,1,0.716,1.432,Dejounte Murray,26,1,20.473,5.257,1.514,1610612737,2.162,0,180,6
7.253,0.494,3,2,11,1,9.139,1.051,0.392,11.873,7.304,0,5.544,4.114,79,64,215.9,2736,0,3.177,3.532,Domantas Sabonis,26,4,19.114,12.316,0.823,1610612758,2.911,0,240,7
2.362,0.42,6,1,11,1,3.58,10.594,4.362,18.145,7.913,0,1.913,1.681,69,30,198.1,2279,0,0.565,1.884,Klay Thompson,32,1,21.87,4.145,0.71,1610612744,1.783,0,220,10
2.677,1.538,12,2,4,1,6.646,5.477,2.108,15.662,7.8,0,6.4,5.446,65,65,221.0,2120,0,1.754,3.015,Kristaps Porzingis,27,4,23.154,8.4,0.892,1610612764,2.108,0,240,7
7.797,0.13,4,1,5,1,2.275,5.971,2.449,16.362,7.565,0,4.652,4.014,69,69,185.4,2447,0,0.406,2.145,Darius Garland,22,1,21.594,2.681,1.232,1610612739,2.884,0,192,4
3.538,0.212,13,2,8,1,3.238,4.5,1.625,13.975,6.775,0,4.025,3.388,80,80,208.3,2609,0,0.875,2.288,Franz Wagner,21,3,18.562,4.112,0.962,1610612753,2.088,0,220,0
5.528,0.34,4,1,13,1,3.66,5.962,2.094,20.132,9.943,0,6.755,5.774,53,35,195.6,1835,0,0.868,3.0,Devin Booker,26,1,27.755,4.528,0.962,1610612756,2.736,0,206,8
5.312,0.328,8,1,30,1,3.656,1.609,0.562,13.875,7.484,0,8.672,7.375,64,0,200.7,2138,0,2.203,1.25,Jimmy Butler,33,3,22.906,5.859,1.828,1610612748,1.578,0,230,12
2.643,2.036,7,1,1,1,9.054,1.321,0.339,17.179,9.679,0,7.929,6.214,56,52,208.3,1905,0,3.482,2.607,Anthony Davis,29,4,25.911,12.536,1.054,1610612747,2.179,0,253,11
3.232,0.695,10,2,16,1,9.073,4.232,1.476,14.0,7.28,0,1.927,1.61,82,24,208.3,2746,0,1.939,2.183,Nikola Vucevic,32,5,17.646,11.012,0.732,1610612741,1.695,0,260,12
3.736,0.542,13,1,1,1,5.736,3.958,1.181,15.583,6.653,0,7.417,5.472,72,72,208.3,2430,0,1.167,2.222,Paolo Banchero,20,3,19.958,6.903,0.833,1610612753,2.778,0,250,0
2.753,0.205,5,1,3,1,4.219,5.342,1.658,16.11,6.986,0,5.37,3.973,73,71,198.1,2476,0,0.822,2.452,RJ Barrett,22,2,19.603,5.041,0.425,1610612752,2.247,0,214,4
2.905,0.175,15,1,29,1,4.159,6.46,2.127,17.667,7.984,0,5.19,3.889,63,3,195.6,2063,0,0.889,1.984,Keldon Johnson,23,2,21.984,5.048,0.73,1610612759,2.127,0,220,4
6.519,0.304,6,1,38,2,3.063,6.203,2.291,13.291,5.823,0,4.177,3.392,79,2,195.6,2725,1,0.354,2.367,Spencer Dinwiddie,29,1,17.329,3.418,0.848,1610612751,1.835,0,215,9
5.0,1.426,4,1,2,1,6.298,4.894,1.979,18.34,10.277,0,7.106,6.532,47,47,208.3,1672,1,0.362,2.106,Kevin Durant,34,3,29.064,6.66,0.723,1610612756,3.319,0,240,15
3.734,0.453,12,1,27,1,6.375,7.516,2.5,17.844,8.0,0,3.703,2.703,64,30,205.7,2239,0,0.859,2.266,Kyle Kuzma,27,3,21.203,7.234,0.562,1610612764,2.969,0,221,6
4.179,0.239,8,1,13,1,4.97,8.015,3.03,16.552,7.269,0,2.716,2.537,67,9,195.6,2335,0,0.403,1.507,Tyler Herro,22,1,20.104,5.373,0.761,1610612748,2.358,0,195,4
2.812,0.325,11,1,6,1,4.162,8.462,3.6,12.975,5.938,0,1.612,1.325,80,51,193.0,2482,0,0.838,1.95,Buddy Hield,29,1,16.8,5.0,1.15,1610612754,1.738,0,220,7
7.174,0.551,9,1,-1,-1,3.623,8.783,3.0,16.116,6.333,0,4.101,3.681,69,0,182.9,2535,0,0.435,2.797,Fred VanVleet,28,1,19.348,4.058,1.783,1610612761,2.029,0,197,7
5.143,0.357,5,1,10,1,5.304,7.607,2.821,17.929,8.196,0,5.25,4.571,56,17,203.2,1939,0,0.804,2.839,Paul George,32,3,23.786,6.107,1.482,1610612746,3.143,0,220,13
5.063,0.254,14,1,16,1,3.302,8.016,2.619,18.857,7.825,0,3.492,2.825,63,0,185.4,2221,0,0.81,1.889,Terry Rozier,28,1,21.095,4.111,1.175,1610612766,2.127,0,190,8
4.081,0.226,13,1,24,1,2.306,9.065,3.419,16.855,7.532,0,2.887,2.581,62,3,190.5,2171,0,0.29,2.29,Anfernee Simons,23,1,21.065,2.597,0.677,1610612757,2.065,0,181,5
1.487,0.167,11,1,6,1,2.962,3.974,1.282,12.192,5.295,0,5.821,4.821,78,78,195.6,2222,0,1.115,2.077,Bennedict Mathurin,21,2,16.692,4.077,0.615,1610612754,1.949,0,210,0
6.154,0.246,1,1,7,1,3.215,6.646,2.646,16.015,7.277,0,3.323,2.769,65,7,193.0,2133,0,0.738,1.585,Jamal Murray,25,1,19.969,3.954,1.015,1610612743,2.231,0,215,6
2.381,0.841,13,1,39,2,3.651,5.698,2.286,14.492,6.889,0,5.429,4.413,63,10,203.2,2246,1,0.841,2.413,Jerami Grant,28,3,20.476,4.492,0.81,1610612757,1.841,0,210,9
7.388,0.373,1,1,17,1,3.91,6.134,2.358,15.269,7.313,0,2.642,2.269,67,46,195.6,2183,0,1.179,1.731,Jrue Holiday,32,1,19.254,5.09,1.179,1610612749,2.94,0,205,14
2.835,1.506,4,1,3,1,6.633,1.291,0.278,11.987,6.646,0,3.848,2.595,79,79,210.8,2715,0,2.367,2.759,Evan Mobley,22,5,16.165,9.0,0.759,1610612739,1.848,0,215,0
2.576,0.136,15,2,31,2,3.169,5.983,2.458,14.949,7.288,0,5.136,4.542,59,21,200.7,1893,1,0.61,1.915,Bojan Bogdanovic,33,3,21.576,3.78,0.576,1610612765,2.288,0,226,9
4.426,0.213,12,1,46,2,2.852,7.525,2.541,16.902,7.508,0,4.016,3.279,61,39,195.6,1988,0,1.18,1.967,Jordan Clarkson,30,1,20.836,4.033,0.541,1610612762,3.049,0,194,9
6.155,0.408,7,1,2,1,2.535,6.901,2.732,13.352,6.268,0,3.042,2.521,71,42,193.0,2304,1,0.493,1.972,D'Angelo Russell,26,1,17.789,3.028,0.986,1610612747,2.62,0,193,8
6.171,0.408,10,4,6,1,5.934,3.079,1.0,14.711,7.092,0,1.908,1.395,76,76,203.2,2367,0,1.947,1.882,Josh Giddey,20,1,16.579,7.882,0.75,1610612760,2.776,0,216,0
4.379,0.379,2,1,30,1,4.276,7.017,2.862,16.19,7.759,0,3.534,3.121,58,58,195.6,1841,0,0.741,2.586,Desmond Bane,25,1,21.5,5.017,0.966,1610612763,2.172,0,215,0
1.269,2.474,1,1,10,1,4.654,4.667,1.744,11.526,6.115,0,2.436,1.91,78,71,215.9,2372,0,2.013,2.603,Brook Lopez,34,5,15.885,6.667,0.474,1610612749,1.372,0,282,15
3.923,0.538,5,1,15,1,5.404,4.808,2.0,16.75,8.577,0,5.365,4.673,52,31,200.7,1748,0,1.096,1.615,Kawhi Leonard,31,3,23.827,6.5,1.385,1610612746,1.692,0,225,11
1.561,0.122,3,1,7,1,3.402,4.305,1.61,9.646,4.561,0,5.037,4.268,82,82,203.2,2662,0,1.061,1.256,Harrison Barnes,30,3,15.0,4.463,0.695,1610612758,1.049,0,225,11
3.533,0.133,3,1,21,1,2.55,6.15,2.667,15.217,7.317,0,3.55,3.0,60,60,188.0,2016,0,0.383,2.2,Tyrese Maxey,22,1,20.3,2.933,0.817,1610612755,1.333,0,200,0
10.655,0.534,3,1,3,1,5.414,7.207,2.776,14.517,6.397,0,6.224,5.397,58,0,195.6,2135,0,0.69,1.931,James Harden,33,1,20.966,6.103,1.224,1610612755,3.362,0,220,14
3.444,0.173,5,1,25,1,3.444,5.605,2.074,11.556,5.173,0,3.062,2.506,81,81,188.0,2344,0,0.716,2.049,Immanuel Quickley,24,1,14.926,4.16,0.988,1610612752,1.235,0,190,0
